"Index","x","lag100"
May 1757,38.1,58
Jun 1757,12.8,62.6
Jul 1757,25,70
Aug 1757,51.3,55.7
Sep 1757,39.7,85
Oct 1757,32.5,83.5
Nov 1757,64.7,94.8
Dec 1757,33.5,66.3
Jan 1758,37.6,75.9
Feb 1758,52,75.5
Mar 1758,49,158.6
Apr 1758,72.3,85.2
May 1758,46.4,73.3
Jun 1758,45,75.9
Jul 1758,44,89.2
Aug 1758,38.7,88.3
Sep 1758,62.5,90
Oct 1758,37.7,100
Nov 1758,43,85.4
Dec 1758,43,103
Jan 1759,48.3,91.2
Feb 1759,44,65.7
Mar 1759,46.8,63.3
Apr 1759,47,75.4
May 1759,49,70
Jun 1759,50,43.5
Jul 1759,51,45.3
Aug 1759,71.3,56.4
Sep 1759,77.2,60.7
Oct 1759,59.7,50.7
Nov 1759,46.3,66.3
Dec 1759,57,59.8
Jan 1760,67.3,23.5
Feb 1760,59.5,23.2
Mar 1760,74.7,28.5
Apr 1760,58.3,44
May 1760,72,35
Jun 1760,48.3,50
Jul 1760,66,71
Aug 1760,75.6,59.3
Sep 1760,61.3,59.7
Oct 1760,50.6,39.6
Nov 1760,59.7,78.4
Dec 1760,61,29.3
Jan 1761,70,27.1
Feb 1761,91,46.6
Mar 1761,80.7,37.6
Apr 1761,71.7,40
May 1761,107.2,44
Jun 1761,99.3,32
Jul 1761,94.1,45.7
Aug 1761,91.1,38
Sep 1761,100.7,36
Oct 1761,88.7,31.7
Nov 1761,89.7,22.2
Dec 1761,46,39
Jan 1762,43.8,28
Feb 1762,72.8,25
Mar 1762,45.7,20
Apr 1762,60.2,6.7
May 1762,39.9,0
Jun 1762,77.1,3
Jul 1762,33.8,1.7
Aug 1762,67.7,13.7
Sep 1762,68.5,20.7
Oct 1762,69.3,26.7
Nov 1762,77.8,18.8
Dec 1762,77.2,12.3
Jan 1763,56.5,8.2
Feb 1763,31.9,24.1
Mar 1763,34.2,13.2
Apr 1763,32.9,4.2
May 1763,32.7,10.2
Jun 1763,35.8,11.2
Jul 1763,54.2,6.8
Aug 1763,26.5,6.5
Sep 1763,68.1,0
Oct 1763,46.3,0
Nov 1763,60.9,8.6
Dec 1763,61.4,3.2
Jan 1764,59.7,17.8
Feb 1764,59.7,23.7
Mar 1764,40.2,6.8
Apr 1764,34.4,20
May 1764,44.3,12.5
Jun 1764,30,7.1
Jul 1764,30,5.4
